"model","rmse","mae","r_squared","training_time_mins","num_features_original","num_pca_components","timestamp"
"Random Forest (PCA)",0.051619027521497,0.0358726386527837,0.913678977977473,7.72297561566035,30,38,2025-03-22 00:23:13.051333
"Gradient Boosting (PCA)",0.0405642195027711,0.0302062532800244,0.946693129731903,1.07817468245824,30,38,2025-03-22 00:23:13.051333
"Elastic Net (PCA)",0.0800469937621986,0.0650131973258451,0.792419291761086,0.0220832347869873,30,38,2025-03-22 00:23:13.051333
