"listing_id","host_id","is_superhost","latitude","longitude","accommodates","bathrooms","bedrooms","beds","square_feet","guests_included","min_nights","reviews","overall_rating","accuracy_rating","cleanliness_rating","checkin_rating","communication_rating","location_rating","value_rating","instant_bookable","price","price_per_person","price_per_bedroom","distance_to_center_km","host_days","host_years","room_type_entire","room_type_private","room_type_shared","has_reviews","days_since_last_review","review_period","reviews_per_month","avg_rating","rating_range","guests_vs_capacity","business_ready","demand_proxy_reviews","demand_proxy","avg_neighborhood_price","avg_neighborhood_reviews","listing_count","price_to_neighborhood_ratio","reviews_to_neighborhood_ratio","listing_name","host_name","host_since","host_response_time","host_response_rate","neighbourhood","neighborhood_group","city","postal_code","country_code","country","is_exact_location","property_type","room_type","first_review","last_review","business_travel_ready","price_tier","min_nights_category","price_numeric","simulation_var","predicted_demand"
18620292,33506088.5,0,52.50912,13.41739,2,1,1,1,431,1,3,5,97,10,10,10,10,10,10,0,30,15,30,5.4197312668385,3605,9.87671232876712,0,1,0,1,2265,281,1.00755738537026,22.4285714285714,87,0.5,0,0.0117924528301887,0.0965169920128187,50,5,1931,0.6,0.26451684152402,"*","Anna","2015-02-28","within an hour","100%","Kreuzberg","Friedrichshain-Kreuzberg","Berlin","*","DE","Germany","t","Apartment","Private room","2019-05-13","2019-04-28","f","economy","short_stay",30,"Kreuzberg 30",0.13594722744099
18620292,33506088.5,0,52.50912,13.41739,2,1,1,1,431,1,3,5,97,10,10,10,10,10,10,0,30,15,30,5.4197312668385,3605,9.87671232876712,0,1,0,1,2265,281,1.00755738537026,22.4285714285714,87,0.5,0,0.0117924528301887,0.0965169920128187,55,6,1996,0.545454545454545,0.26451684152402,"*","Anna","2015-02-28","within an hour","100%","Prenzlauer Berg","Pankow","Berlin","*","DE","Germany","t","Apartment","Private room","2019-05-13","2019-04-28","f","economy","short_stay",30,"Prenzlauer Berg 30",0.154196028555712
18620292,33506088.5,0,52.50912,13.41739,2,1,1,1,431,1,3,5,97,10,10,10,10,10,10,0,35,17.5,35,5.4197312668385,3605,9.87671232876712,0,1,0,1,2265,281,1.00755738537026,22.4285714285714,87,0.5,0,0.0117924528301887,0.0965169920128187,70,7,1374,0.5,0.26451684152402,"*","Anna","2015-02-28","within an hour","100%","Mitte","Mitte","Berlin","*","DE","Germany","t","Apartment","Private room","2019-05-13","2019-04-28","f","economy","short_stay",35,"Mitte 35",0.143965512251414
18620292,33506088.5,0,52.50912,13.41739,2,1,1,1,431,1,3,5,97,10,10,10,10,10,10,0,35,17.5,35,5.4197312668385,3605,9.87671232876712,0,1,0,1,2265,281,1.00755738537026,22.4285714285714,87,0.5,0,0.0117924528301887,0.0965169920128187,49,5,1805,0.714285714285714,0.26451684152402,"*","Anna","2015-02-28","within an hour","100%","Friedrichshain","Friedrichshain-Kreuzberg","Berlin","*","DE","Germany","t","Apartment","Private room","2019-05-13","2019-04-28","f","economy","short_stay",35,"Friedrichshain 35",0.130416202493858
18620292,33506088.5,0,52.50912,13.41739,2,1,1,1,431,1,3,5,97,10,10,10,10,10,10,0,35,17.5,35,5.4197312668385,3605,9.87671232876712,0,1,0,1,2265,281,1.00755738537026,22.4285714285714,87,0.5,0,0.0117924528301887,0.0965169920128187,50,5,1931,0.7,0.26451684152402,"*","Anna","2015-02-28","within an hour","100%","Kreuzberg","Friedrichshain-Kreuzberg","Berlin","*","DE","Germany","t","Apartment","Private room","2019-05-13","2019-04-28","f","economy","short_stay",35,"Kreuzberg 35",0.137381180203071
18620292,33506088.5,0,52.50912,13.41739,2,1,1,1,431,1,3,5,97,10,10,10,10,10,10,0,35,17.5,35,5.4197312668385,3605,9.87671232876712,0,1,0,1,2265,281,1.00755738537026,22.4285714285714,87,0.5,0,0.0117924528301887,0.0965169920128187,55,6,1996,0.636363636363636,0.26451684152402,"*","Anna","2015-02-28","within an hour","100%","Prenzlauer Berg","Pankow","Berlin","*","DE","Germany","t","Apartment","Private room","2019-05-13","2019-04-28","f","economy","short_stay",35,"Prenzlauer Berg 35",0.154392544393263
18620292,33506088.5,0,52.50912,13.41739,2,1,1,1,431,1,3,5,97,10,10,10,10,10,10,0,40,20,40,5.4197312668385,3605,9.87671232876712,0,1,0,1,2265,281,1.00755738537026,22.4285714285714,87,0.5,0,0.0117924528301887,0.0965169920128187,70,7,1374,0.571428571428571,0.26451684152402,"*","Anna","2015-02-28","within an hour","100%","Mitte","Mitte","Berlin","*","DE","Germany","t","Apartment","Private room","2019-05-13","2019-04-28","f","economy","short_stay",40,"Mitte 40",0.144560334001629
18620292,33506088.5,0,52.50912,13.41739,2,1,1,1,431,1,3,5,97,10,10,10,10,10,10,0,40,20,40,5.4197312668385,3605,9.87671232876712,0,1,0,1,2265,281,1.00755738537026,22.4285714285714,87,0.5,0,0.0117924528301887,0.0965169920128187,49,5,1805,0.816326530612245,0.26451684152402,"*","Anna","2015-02-28","within an hour","100%","Friedrichshain","Friedrichshain-Kreuzberg","Berlin","*","DE","Germany","t","Apartment","Private room","2019-05-13","2019-04-28","f","economy","short_stay",40,"Friedrichshain 40",0.130996191229073
18620292,33506088.5,0,52.50912,13.41739,2,1,1,1,431,1,3,5,97,10,10,10,10,10,10,0,40,20,40,5.4197312668385,3605,9.87671232876712,0,1,0,1,2265,281,1.00755738537026,22.4285714285714,87,0.5,0,0.0117924528301887,0.0965169920128187,50,5,1931,0.8,0.26451684152402,"*","Anna","2015-02-28","within an hour","100%","Kreuzberg","Friedrichshain-Kreuzberg","Berlin","*","DE","Germany","t","Apartment","Private room","2019-05-13","2019-04-28","f","economy","short_stay",40,"Kreuzberg 40",0.139722213993932
18620292,33506088.5,0,52.50912,13.41739,2,1,1,1,431,1,3,5,97,10,10,10,10,10,10,0,40,20,40,5.4197312668385,3605,9.87671232876712,0,1,0,1,2265,281,1.00755738537026,22.4285714285714,87,0.5,0,0.0117924528301887,0.0965169920128187,55,6,1996,0.727272727272727,0.26451684152402,"*","Anna","2015-02-28","within an hour","100%","Prenzlauer Berg","Pankow","Berlin","*","DE","Germany","t","Apartment","Private room","2019-05-13","2019-04-28","f","economy","short_stay",40,"Prenzlauer Berg 40",0.153237311106722
